| end of split  20 /100 | epoch   3 | time: 2528.79s | valid loss  1.06 | valid ppl     2.89 | learning rate 1.25
| end of split  21 /100 | epoch   3 | time: 2530.47s | valid loss  1.06 | valid ppl     2.89 | learning rate 1.25
| end of split  22 /100 | epoch   3 | time: 2589.29s | valid loss  1.06 | valid ppl     2.89 | learning rate 1.25
| end of split  23 /100 | epoch   3 | time: 2533.25s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  24 /100 | epoch   3 | time: 2532.03s | valid loss  1.06 | valid ppl     2.89 | learning rate 1.25
| end of split  25 /100 | epoch   3 | time: 2530.88s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  26 /100 | epoch   3 | time: 2535.16s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  27 /100 | epoch   3 | time: 2534.76s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  28 /100 | epoch   3 | time: 2533.77s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  29 /100 | epoch   3 | time: 2532.84s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  30 /100 | epoch   3 | time: 2531.98s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  31 /100 | epoch   3 | time: 2532.66s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  32 /100 | epoch   3 | time: 2533.52s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  33 /100 | epoch   3 | time: 2532.66s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  34 /100 | epoch   3 | time: 2534.73s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  35 /100 | epoch   3 | time: 360.00s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  36 /100 | epoch   3 | time: 2533.51s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  37 /100 | epoch   3 | time: 2532.57s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  38 /100 | epoch   3 | time: 2533.49s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  39 /100 | epoch   3 | time: 2532.29s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  40 /100 | epoch   3 | time: 2533.29s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  41 /100 | epoch   3 | time: 2533.60s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  42 /100 | epoch   3 | time: 2534.09s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  43 /100 | epoch   3 | time: 2531.85s | valid loss  1.06 | valid ppl     2.88 | learning rate 1.25
| end of split  44 /100 | epoch   3 | time: 2534.77s | valid loss  1.06 | valid ppl     2.88 | learning rate 0.31
| end of split  45 /100 | epoch   3 | time: 2533.94s | valid loss  1.06 | valid ppl     2.88 | learning rate 0.31
